	no	idx	rgn2
91	302	미국국채(3년)	미국
92	304	미국국채(7년)	미국
93	307	브라질정책금리	여타국가
94	308	한국정책금리	한국
95	309	페루정책금리	여타국가
96	311	폴란드정책금리	여타국가
97	312	미국정책금리	미국
98	313	유로정책금리	여타국가
99	314	일본정책금리	일본
100	315	영국정책금리	영국
101	316	스웨덴정책금리	여타국가
102	317	멕시코정책금리	여타국가
103	318	남아공정책금리	여타국가
104	319	호주정책금리	여타국가
105	320	인도정책금리	여타국가
106	321	인도네시아정책금리	여타국가
107	322	말레이시아정책금리	여타국가
108	323	싱가포르정책금리	여타국가
109	324	캐나다정책금리	여타국가
110	326	독일 국채(3m)	여타국가
111	327	영국 국채(3m)	영국
112	328	일본 국채(3m)	일본
113	329	프랑스 국채(3m)	여타국가
114	330	호주 국채(3m)	여타국가
115	331	한국 국채(3m)	한국
116	332	브라질 국채(3m)	여타국가
117	333	싱가포르 국채(3m)	여타국가
118	334	인도 국채(3m)	여타국가
119	335	말레이시아 국채(3m)	여타국가
120	336	터키 국채(3m)	여타국가
121	337	헝가리 국채(3m)	여타국가
122	338	멕시코 국채(3m)	여타국가
123	339	스페인 국채(3m)	여타국가
124	340	이탈리아 국채(3m)	여타국가
125	341	네덜란드  국채(3m)	여타국가
126	342	태국 국채(3m)	여타국가
127	343	중국 국채(3m)	여타국가
128	345	독일 국채(3년)	여타국가
129	346	영국 국채(3년)	영국
130	347	일본 국채(3년)	일본
131	348	프랑스 국채(3년)	여타국가
132	349	호주 국채(3년)	여타국가
133	351	체코 국채(3년)	여타국가
134	352	남아공 국채(3년)	여타국가
135	353	인도네시아 국채(3년)	여타국가
136	354	인도 국채(3년)	여타국가
137	355	칠레 국채(3년)	여타국가
138	356	말레이시아 국채(3년)	여타국가
139	357	터키 국채(3년)	여타국가
140	358	폴란드 국채(3년)	여타국가
141	359	헝가리 국채(3년)	여타국가
142	360	멕시코 국채(3년)	여타국가
143	361	중국 국채(3년)	여타국가
144	362	홍콩 국채(3년)	여타국가
145	363	대만 국채(3년)	여타국가
146	364	태국 국채(3년)	여타국가
147	365	캐나다 국채(3년)	여타국가
148	366	콜롬비아 국채(3년)	여타국가
149	367	오스트리아 국채(3년)	여타국가
150	368	네덜란드 국채(3년)	여타국가
151	369	스웨덴 국채(3년)	여타국가
152	374	프랑스 국채(10년)	여타국가
